Product Component ID,Product ID,Quantity,Measurement,Component ID,Section,Group,Side
790,F145,1,Each,10,Center,Final,
791,F145,1,Each,27,Top,Final,
792,F146,1,Each,1,Top,Frame,
793,F146,1,Each,1,Bottom,Frame,
794,F146,1,Each,2,Side,Frame,
795,F146,1,Each,3,Side,Frame,
796,F146,2,Each,5,Center,Internal,
797,F146,5,Each,7,Top,Internal,
798,F146,5,Each,7,Bottom,Internal,
799,F146,3,Each,55,Top,Design,
800,F146,3,Each,55,Bottom,Design,
801,F146,3,Each,56,Top,Design,
802,F146,3,Each,56,Bottom,Design,
803,F146,1,Each,28,Center,Design,
804,F146,1,Each,9,Top,Final,
805,F146,1,Each,9,Bottom,Final,
806,F146,1,Each,10,Center,Final,
807,F146,1,Each,27,Top,Final,
836,F149,1,Each,1,Top,Frame,
837,F149,1,Each,1,Bottom,Frame,
838,F149,1,Each,2,Side,Frame,
839,F149,1,Each,3,Side,Frame,
840,F149,2,Each,5,Center,Internal,
841,F149,7,Each,7,Top,Internal,
842,F149,7,Each,7,Bottom,Internal,
843,F149,2,Each,64,Top,Design,
844,F149,2,Each,64,Bottom,Design,
845,F149,1,Each,36,Center,Design,
846,F149,1,Each,9,Top,Final,
847,F149,1,Each,9,Bottom,Final,
848,F149,1,Each,10,Center,Final,
849,F149,1,Each,27,Top,Final,
912,F154,1,Each,1,Top,Frame,
913,F154,1,Each,1,Bottom,Frame,
914,F154,1,Each,2,Side,Frame,
915,F154,1,Each,3,Side,Frame,
916,F154,2,Each,5,Center,Internal,
917,F154,3,Each,7,Bottom,Internal,
918,F154,4,Each,34,Top,Design,
919,F154,2,Each,101,Bottom,Design,
920,F154,1,Each,36,Center,Design,
921,F154,1,Each,9,Top,Final,
922,F154,1,Each,9,Bottom,Final,
923,F154,1,Each,10,Center,Final,
924,F154,1,Each,27,Top,Final,
953,F167,1,Each,1,Top,Frame,
954,F167,1,Each,1,Bottom,Frame,
955,F167,1,Each,2,Side,Frame,
956,F167,1,Each,3,Side,Frame,
957,F167,2,Each,5,Center,Internal,
958,F167,3,Each,7,Top,Internal,
959,F167,3,Each,7,Bottom,Internal,
960,F167,2,Each,31,Top,Design,
961,F167,2,Each,102,Top,Design,
962,F167,2,Each,31,Bottom,Design,
963,F167,2,Each,102,Bottom,Design,
964,F167,1,Each,36,Center,Design,
965,F167,1,Each,9,Top,Final,
966,F167,1,Each,9,Bottom,Final,
967,F167,1,Each,10,Center,Final,
968,F167,1,Each,27,Top,Final,
1093,F177,1,Each,1,Top,Frame,
1094,F177,1,Each,1,Bottom,Frame,
1095,F177,1,Each,2,Side,Frame,
1096,F177,1,Each,3,Side,Frame,
1097,F177,2,Each,5,Center,Internal,
1098,F177,5,Each,7,Top,Internal,
1099,F177,5,Each,7,Bottom,Internal,
1100,F177,1,Each,108,Top,Internal,
1101,F177,1,Each,108,Bottom,Internal,
1102,F177,1,Each,50,Top,Design,
1103,F177,1,Each,50,Bottom,Design,
1104,F177,2,Each,39,Top,Design,
1105,F177,2,Each,39,Bottom,Design,
1106,F177,2,Each,31,Top,Design,
1107,F177,2,Each,31,Bottom,Design,
1108,F177,1,Each,28,Center,Design,
1109,F177,1,Each,9,Top,Final,
1110,F177,1,Each,9,Bottom,Final,
1111,F177,1,Each,10,Center,Final,
1112,F177,1,Each,27,Top,Final,
1135,F179,1,Each,1,Center,Frame,
1136,F179,1,Each,1,Bottom,Frame,
1137,F179,1,Each,2,Side,Frame,
1138,F179,1,Each,3,Side,Frame,
1139,F179,2,Each,5,Center,Internal,
1140,F179,1,Each,84,Top,Design,
1141,F179,1,Each,84,Bottom,Design,
1142,F179,1,Each,9,Top,Final,
1143,F179,1,Each,9,Bottom,Final,
1144,F179,1,Each,10,Center,Final,
1145,F179,1,Each,27,Top,Final,
1164,F181,1,Each,1,Top,Frame,
1165,F181,1,Each,1,Bottom,Frame,
1166,F181,1,Each,2,Side,Frame,
1167,F181,1,Each,3,Side,Frame,
1168,F181,2,Each,5,Center,Internal,
1172,F181,1,Each,9,Top,Final,
1173,F181,1,Each,9,Bottom,Final,
1174,F181,1,Each,10,Center,Final,
1175,F181,1,Each,27,Top,Final,
1176,F207,1,Each,1,Top,Frame,
1177,F207,1,Each,1,Bottom,Frame,
1178,F207,1,Each,2,Side,Frame,
1179,F207,1,Each,3,Side,Frame,
1180,F207,2,Each,5,Center,Internal,
1182,F207,1,Each,110,Top,Design,
1183,F207,1,Each,110,Bottom,Design,
1184,F207,1,Each,9,Top,Final,
1185,F207,1,Each,9,Bottom,Final,
1186,F207,1,Each,10,Center,Final,
1187,F207,1,Each,27,Top,Final,
1188,F208,1,Each,1,Top,Frame,
1189,F208,1,Each,1,Bottom,Frame,
1190,F208,1,Each,2,Side,Frame,
1191,F208,1,Each,3,Side,Frame,
1192,F208,2,Each,5,Center,Internal,
1193,F208,1,Each,111,Top,Design,
1194,F208,1,Each,111,Bottom,Design,
1195,F208,1,Each,112,Center,Design,
1196,F208,1,Each,9,Top,Final,
1197,F208,1,Each,9,Bottom,Final,
1198,F208,1,Each,10,Center,Final,
1199,F208,1,Each,27,Top,Final,
1200,F209,1,Each,1,Top,Frame,
1201,F209,1,Each,1,Bottom,Frame,
1202,F209,1,Each,2,Side,Frame,
1203,F209,1,Each,3,Side,Frame,
1204,F209,2,Each,5,Center,Internal,
1205,F209,1,Each,113,Top,Design,
1206,F209,1,Each,113,Bottom,Design,
1208,F209,1,Each,9,Top,Final,
1209,F209,1,Each,9,Bottom,Final,
1210,F209,1,Each,10,Center,Final,
1211,F209,1,Each,27,Top,Final,
1216,F210,1,Each,1,Top,Frame,
1217,F210,1,Each,1,Bottom,Frame,
